Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Ichiro Suzuki,SEA,OF,46,162,680,74,214,30,3,6,43,42,9,45,86,3,1,3,0.315,0.359,0.394,0.753
Derek Jeter,NYY,SS,46,157,663,111,179,30,3,10,67,18,5,63,106,1,3,9,0.27,0.34,0.37,0.71
Michael Young,TEX,3B,44,157,656,99,186,36,3,21,91,4,2,50,115,0,11,1,0.284,0.33,0.444,0.774
Juan Pierre,CWS,OF,43,160,651,96,179,18,3,1,47,68,18,45,47,15,2,21,0.275,0.341,0.316,0.657
Rickie Weeks,MIL,DH,38,160,651,112,175,32,4,29,83,11,4,76,184,0,2,25,0.269,0.366,0.464,0.83
Marco Scutaro,BOS,2B,45,150,632,92,174,38,0,11,56,5,4,53,71,4,3,3,0.275,0.333,0.388,0.721
Denard Span,MIN,OF,36,153,629,85,166,24,10,3,58,26,4,60,74,10,2,4,0.264,0.331,0.348,0.679
Nick Markakis,BAL,OF,36,160,629,79,187,45,3,12,60,7,2,73,93,0,5,2,0.297,0.37,0.436,0.806
Robinson Cano,NYY,2B,38,160,626,103,200,41,3,29,109,3,2,57,77,0,5,8,0.319,0.381,0.534,0.915
Brandon Phillips,CIN,2B,39,155,626,100,172,33,5,18,59,16,12,46,83,6,1,8,0.275,0.332,0.43,0.762
Ryan Braun,MIL,OF,36,157,619,101,188,45,1,25,103,14,3,56,105,0,3,6,0.304,0.365,0.501,0.866
Austin Jackson,DET,OF,33,151,618,103,181,34,10,4,41,27,6,47,170,3,3,4,0.293,0.345,0.4,0.745
Howie Kendrick,LAA,2B,37,158,616,67,172,41,4,10,75,14,4,28,94,4,5,5,0.279,0.313,0.407,0.72
Hunter Pence,HOU,OF,37,156,614,93,173,29,3,25,91,18,9,41,105,0,3,0,0.282,0.325,0.461,0.786
Chase Headley,SD,3B,36,161,610,77,161,29,3,11,58,17,5,56,139,1,4,3,0.264,0.327,0.375,0.702
Casey McGehee,MIL,3B,38,157,610,70,174,38,1,23,104,1,1,50,102,0,8,2,0.285,0.337,0.464,0.801
Michael Cuddyer,MIN,OF,41,157,609,93,165,37,5,14,81,7,3,58,93,0,4,4,0.271,0.336,0.417,0.753
Carlos Lee,HOU,1B,44,157,605,67,149,29,1,24,89,3,3,37,59,0,4,3,0.246,0.291,0.417,0.708
Chone Figgins,SEA,OF,42,161,602,62,156,21,2,1,35,42,15,74,114,17,6,3,0.259,0.34,0.306,0.646
Matt Kemp,LAD,OF,36,162,602,82,150,25,6,28,89,19,15,53,170,0,9,4,0.249,0.31,0.45,0.76
Mark Teixeira,NYY,1B,40,158,601,113,154,36,0,33,108,0,1,93,122,0,5,13,0.256,0.365,0.481,0.846
Carl Crawford,TB,OF,39,154,600,110,184,30,13,19,90,47,10,46,104,3,5,3,0.307,0.356,0.495,0.851
Martin Prado,ATL,3B,37,140,599,100,184,40,3,15,66,5,3,40,86,3,6,3,0.307,0.35,0.459,0.809
Matt Holliday,STL,OF,40,158,596,95,186,45,1,28,103,9,5,69,93,0,2,8,0.312,0.39,0.532,0.922
Billy Butler,KC,1B,34,158,595,77,189,45,0,15,78,0,0,69,78,0,9,5,0.318,0.388,0.469,0.857
Jose Lopez,SEA,3B,36,150,593,49,142,29,0,10,58,3,2,23,66,0,3,3,0.239,0.27,0.339,0.609
Vladimir Guerrero,TEX,DH,45,152,593,83,178,27,1,29,115,4,5,35,60,0,6,9,0.3,0.345,0.496,0.841
Garrett Jones,PIT,1B,39,158,592,64,146,34,1,21,86,7,3,53,123,0,8,1,0.247,0.306,0.414,0.72
Adrian Gonzalez,SD,1B,38,160,591,87,176,33,0,31,101,0,0,93,114,2,4,2,0.298,0.393,0.511,0.904
Vernon Wells,TOR,OF,41,157,590,79,161,44,3,31,88,6,4,50,84,0,3,3,0.273,0.331,0.515,0.846
Adrian Beltre,BOS,3B,41,154,589,84,189,49,2,28,102,2,1,40,82,0,7,5,0.321,0.365,0.553,0.918
Dan Uggla,FLA,2B,40,159,589,100,169,31,0,33,105,4,1,78,149,0,5,2,0.287,0.369,0.508,0.877
Elvis Andrus,TEX,SS,32,148,588,88,156,15,3,0,35,32,15,64,96,17,0,5,0.265,0.342,0.301,0.643
James Loney,LAD,1B,36,161,588,67,157,41,2,10,88,10,5,52,95,0,4,4,0.267,0.329,0.395,0.724
Shane Victorino,PHI,OF,39,147,587,84,152,26,10,18,69,34,6,53,79,0,1,7,0.259,0.327,0.429,0.756
David Wright,NYM,3B,37,157,587,87,166,36,3,29,103,19,11,69,161,0,12,2,0.283,0.354,0.503,0.857
Albert Pujols,STL,1B,40,159,587,115,183,39,1,42,118,14,4,103,76,0,6,4,0.312,0.414,0.596,1.01
Carlos Gonzalez,COL,OF,35,145,587,111,197,34,9,34,117,26,8,40,135,0,7,2,0.336,0.376,0.598,0.974
Alexei Ramirez,CWS,SS,39,156,585,83,165,29,2,18,70,13,8,27,82,7,5,2,0.282,0.313,0.431,0.744
Kelly Johnson,ARI,2B,38,154,585,93,166,36,5,26,71,13,7,79,148,3,2,2,0.284,0.37,0.496,0.866
Chris Young,ARI,OF,37,156,584,94,150,33,0,27,91,28,7,74,145,1,3,2,0.257,0.341,0.452,0.793
Adam Jones,BAL,OF,35,149,581,76,165,25,5,19,69,7,7,23,119,2,2,13,0.284,0.325,0.442,0.767
Ty Wigginton,BAL,3B,43,154,581,63,144,29,1,22,76,0,1,50,116,1,9,8,0.248,0.312,0.415,0.727
Marlon Byrd,CHC,OF,43,152,580,84,170,39,2,12,66,5,1,31,98,0,2,17,0.293,0.346,0.429,0.775
Angel Pagan,NYM,OF,39,151,579,80,168,31,7,11,69,37,9,44,97,6,3,1,0.29,0.34,0.425,0.765
Prince Fielder,MIL,DH,36,161,578,94,151,25,0,32,83,1,0,114,138,0,1,21,0.261,0.401,0.471,0.872
Evan Longoria,TB,3B,35,151,574,96,169,46,5,22,104,15,5,72,124,0,10,5,0.294,0.372,0.507,0.879
Bobby Abreu,LAA,OF,46,154,573,88,146,41,1,20,78,24,10,87,132,0,5,2,0.255,0.352,0.435,0.787
Torii Hunter,LAA,OF,45,152,573,76,161,36,0,23,90,9,12,61,106,0,5,7,0.281,0.354,0.464,0.818
Gaby Sanchez,FLA,1B,37,151,572,72,156,37,3,19,85,5,0,57,101,3,6,5,0.273,0.341,0.448,0.789
Andrew McCutchen,PIT,OF,34,154,570,94,163,35,5,16,56,33,10,70,89,1,7,5,0.286,0.365,0.449,0.814
Delmon Young,MIN,OF,35,153,570,77,170,46,1,21,112,5,4,28,81,0,9,6,0.298,0.333,0.493,0.826
Adam Lind,TOR,1B,37,150,569,57,135,32,3,23,72,0,0,38,144,0,3,3,0.237,0.287,0.425,0.712
Aubrey Huff,SF,1B,43,157,569,100,165,35,5,26,86,7,0,83,91,0,7,9,0.29,0.385,0.506,0.891
Jose Bautista,TOR,3B,40,161,569,109,148,35,3,54,124,9,2,100,116,0,4,10,0.26,0.378,0.617,0.995
Franklin Gutierrez,SEA,OF,37,152,568,61,139,25,3,12,64,25,3,50,137,2,8,1,0.245,0.303,0.363,0.666
Alex Rios,CWS,OF,39,147,567,89,161,29,3,21,88,34,14,38,93,0,5,7,0.284,0.334,0.457,0.791
Nick Swisher,NYY,OF,39,150,566,91,163,33,3,29,89,1,2,58,139,3,2,6,0.288,0.359,0.511,0.87
Stephen Drew,ARI,SS,37,151,565,83,157,33,12,15,61,10,5,62,108,2,1,3,0.278,0.352,0.458,0.81
Pablo Sandoval,SF,3B,34,152,563,61,151,34,3,13,63,3,2,47,81,0,5,1,0.268,0.323,0.409,0.732
Jose Reyes,NYM,SS,37,133,563,83,159,29,10,11,54,30,10,31,63,4,3,2,0.282,0.321,0.428,0.749
Raul Ibanez,PHI,OF,48,155,561,75,154,37,5,16,83,4,3,68,108,0,7,0,0.275,0.349,0.444,0.793
