Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Justin Verlander,DET,37,34,34,4,2,251.0,174,67,250,57,24,24,5,0,0,0,2.40,0.92
James Shields,TB,38,33,33,11,4,249.1,195,78,225,65,26,16,12,0,0,0,2.82,1.04
Dan Haren,LAA,40,35,34,4,3,238.1,211,84,192,33,20,16,10,0,0,0,3.17,1.02
CC Sabathia,NYY,40,33,33,3,1,237.1,230,79,230,61,17,19,8,0,0,0,3.00,1.23
Chris Carpenter,STL,45,34,34,4,2,237.1,243,91,191,55,16,11,9,0,0,0,3.45,1.26
Jered Weaver,LAA,38,33,33,4,2,235.2,182,63,198,56,20,18,8,0,0,0,2.41,1.01
Felix Hernandez,SEA,34,33,33,5,0,233.2,218,90,222,67,19,14,14,0,0,0,3.47,1.22
Roy Halladay,PHI,43,32,32,8,1,233.2,208,61,220,35,10,19,6,0,0,0,2.35,1.04
Clayton Kershaw,LAD,32,33,33,5,2,233.1,174,59,248,54,15,21,5,0,0,0,2.28,0.98
Cliff Lee,PHI,42,32,32,6,6,232.2,197,62,238,42,18,17,8,0,0,0,2.40,1.03
Ervin Santana,LAA,37,33,33,4,1,228.2,207,86,178,72,26,11,12,0,0,0,3.38,1.22
Ricky Romero,TOR,36,32,32,4,2,225.0,176,73,178,80,26,15,11,0,0,0,2.92,1.14
David Price,TB,35,34,34,0,0,224.1,192,87,218,63,22,12,13,0,0,0,3.49,1.14
C.J. Wilson,TEX,39,34,34,3,1,223.1,191,73,206,74,16,16,7,0,0,0,2.94,1.19
Carl Pavano,MIN,44,33,33,3,1,222.0,262,106,102,40,23,9,13,0,0,0,4.30,1.36
Daniel Hudson,ARI,33,33,33,3,0,222.0,217,86,169,50,17,16,12,0,0,0,3.49,1.20
Ian Kennedy,ARI,35,33,33,1,1,222.0,186,71,198,55,19,21,4,0,0,0,2.88,1.09
Matt Cain,SF,36,33,33,1,0,221.2,177,71,179,63,9,12,11,0,0,0,2.88,1.08
Tim Lincecum,SF,36,33,33,1,1,217.0,176,66,220,86,15,13,14,0,0,0,2.74,1.21
Justin Masterson,CLE,35,34,33,1,0,216.0,211,77,158,65,11,12,10,0,0,0,3.21,1.28
Cole Hamels,PHI,36,32,31,3,0,216.0,169,67,194,44,19,14,9,0,0,0,2.79,0.99
Brett Myers,HOU,40,34,33,2,0,216.0,226,107,160,57,31,7,14,0,0,0,4.46,1.31
Tim Hudson,ATL,45,33,33,1,1,215.0,189,77,158,56,14,16,10,0,0,0,3.22,1.14
Randy Wolf,MIL,44,33,33,0,0,212.1,214,87,134,66,23,13,10,0,0,0,3.69,1.32
Joe Saunders,ARI,39,33,33,1,0,212.0,210,87,108,67,29,12,13,0,0,0,3.69,1.31
R.A. Dickey,NYM,46,33,32,1,0,208.2,202,76,134,54,18,8,13,0,0,1,3.28,1.23
Jeremy Guthrie,BAL,41,34,32,2,0,208.0,213,100,130,66,26,9,17,0,0,0,4.33,1.34
Trevor Cahill,OAK,32,34,34,0,0,207.2,214,96,147,82,19,12,14,0,0,0,4.16,1.43
Yovani Gallardo,MIL,34,33,33,1,1,207.1,193,81,207,59,27,17,10,0,0,0,3.52,1.22
Ricky Nolasco,FLA,37,33,33,2,1,206.0,244,107,148,44,20,10,12,0,0,0,4.67,1.40
Mark Buehrle,CWS,41,31,31,0,0,205.1,221,82,109,45,21,13,9,0,0,0,3.59,1.30
Madison Bumgarner,SF,31,33,33,0,0,204.2,202,73,191,46,12,13,13,0,0,0,3.21,1.21
Ryan Dempster,CHC,43,34,34,0,0,202.1,211,108,191,82,23,10,14,0,0,0,4.80,1.45
Gio Gonzalez,OAK,35,32,32,0,0,202.0,175,70,197,91,17,16,12,0,0,0,3.12,1.32
Hiroki Kuroda,LAD,45,32,32,0,0,202.0,196,69,161,49,24,13,16,0,0,0,3.07,1.21
Jason Vargas,SEA,37,32,32,4,3,201.0,205,95,131,59,22,10,13,0,0,0,4.25,1.31
Shaun Marcum,MIL,38,33,33,0,0,200.2,175,79,158,57,22,13,7,0,0,0,3.54,1.16
Colby Lewis,TEX,41,32,32,2,1,200.1,187,98,169,56,35,14,10,0,0,0,4.40,1.21
Bronson Arroyo,CIN,43,32,32,1,1,199.0,227,112,108,45,46,9,12,0,0,0,5.07,1.37
Matt Garza,CHC,36,31,31,2,0,198.0,186,73,197,63,14,10,10,0,0,0,3.32,1.26
Luke Hochevar,KC,37,31,31,0,0,198.0,192,103,128,62,23,11,11,0,0,0,4.68,1.28
Derek Holland,TEX,34,32,32,4,4,198.0,201,87,162,67,22,16,5,0,0,0,3.95,1.35
Anibal Sanchez,FLA,36,32,32,3,2,196.1,187,80,202,64,20,8,9,0,0,0,3.67,1.28
Max Scherzer,DET,36,33,33,0,0,195.0,207,96,174,56,29,15,9,0,0,0,4.43,1.35
Jaime Garcia,STL,34,32,32,2,2,194.2,207,77,156,50,15,13,7,0,0,0,3.56,1.32
Mat Latos,SD,32,31,31,0,0,194.1,168,75,185,62,16,9,14,0,0,0,3.47,1.18
Jhoulys Chacin,COL,32,31,31,2,1,194.0,168,78,150,87,20,11,14,0,0,0,3.62,1.31
Mike Pelfrey,NYM,36,34,33,2,0,193.2,220,102,105,65,21,7,13,0,0,0,4.74,1.47
Gavin Floyd,CWS,37,31,30,1,0,193.2,180,94,151,45,22,12,13,0,0,0,4.37,1.16
Josh Beckett,BOS,40,30,30,1,1,193.0,146,62,175,52,21,13,7,0,0,0,2.89,1.03
Javier Vazquez,FLA,44,32,32,2,1,192.2,178,79,162,50,21,13,11,0,0,0,3.69,1.18
Ted Lilly,LAD,44,33,33,0,0,192.2,172,85,158,51,28,12,14,0,0,0,3.97,1.16
Jon Lester,BOS,36,31,31,0,0,191.2,166,74,182,75,20,15,9,0,0,0,3.47,1.26
Wandy Rodriguez,HOU,41,30,30,0,0,191.0,182,74,166,69,25,11,11,0,0,0,3.49,1.31
A.J. Burnett,NYY,43,33,32,0,0,190.1,190,109,173,83,31,11,11,0,0,0,5.15,1.43
