NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
Max Scherzer,WSH,SP,"$42,142,857.00",7 (2015-21),"$210,000,000.00","$30,000,000.00"
Stephen Strasburg,WSH,SP,"$36,428,571.00",7 (2017-23),"$175,000,000.00","$25,000,000.00"
Mike Trout,LAA,CF,"$34,083,333.00",6 (2015-20),"$144,500,000.00","$24,083,333.00"
Zack Greinke,ARI,SP,"$32,421,884.00",6 (2016-21),"$206,500,000.00","$34,416,667.00"
David Price,BOS,SP,"$31,000,000.00",7 (2016-22),"$217,000,000.00","$31,000,000.00"
Clayton Kershaw,LAD,SP,"$31,000,000.00",3 (2019-21),"$93,000,000.00","$31,000,000.00"
Miguel Cabrera,DET,DH,"$30,000,000.00",10 (2014-23),"$292,000,000.00","$29,200,000.00"
Yoenis Cespedes,NYM,OF,"$29,000,000.00",4 (2017-20),"$110,000,000.00","$27,500,000.00"
Justin Verlander,HOU,SP,"$28,000,000.00",7 (2013-19),"$180,000,000.00","$25,714,286.00"
Albert Pujols,LAA,DH,"$28,000,000.00",10 (2012-21),"$240,000,000.00","$24,000,000.00"
Felix Hernandez,SEA,SP,"$27,857,143.00",7 (2013-19),"$175,000,000.00","$25,000,000.00"
Jon Lester,CHC,SP,"$27,500,000.00",6 (2015-20),"$155,000,000.00","$25,833,333.00"
Nolan Arenado,COL,3B,"$26,000,000.00",1 (2019),"$26,000,000.00","$26,000,000.00"
Giancarlo Stanton,NYY,RF,"$26,000,000.00",13 (2015-27),"$325,000,000.00","$25,000,000.00"
Jake Arrieta,PHI,SP,"$25,000,000.00",3 (2018-20),"$75,000,000.00","$25,000,000.00"
Joey Votto,CIN,1B,"$25,000,000.00",10 (2014-23),"$225,000,000.00","$22,500,000.00"
Jordan Zimmermann,DET,SP,"$25,000,000.00",5 (2016-20),"$110,000,000.00","$22,000,000.00"
Robinson Cano,NYM,2B,"$24,000,000.00",10 (2014-23),"$240,000,000.00","$24,000,000.00"
J.D. Martinez,BOS,OF,"$23,750,000.00",5 (2018-22),"$110,000,000.00","$22,000,000.00"
Edwin Encarnacion,SEA,1B,"$23,333,333.00",3 (2017-19),"$60,000,000.00","$20,000,000.00"
Josh Donaldson,ATL,3B,"$23,000,000.00",1 (2019),"$23,000,000.00","$23,000,000.00"
Johnny Cueto,SF,SP,"$22,666,666.00",6 (2016-21),"$130,000,000.00","$21,666,667.00"
Buster Posey,SF,C,"$22,511,111.00",9 (2013-21),"$167,000,000.00","$18,555,556.00"
Masahiro Tanaka,NYY,SP,"$22,000,000.00",7 (2014-20),"$155,000,000.00","$22,142,857.00"
Jacoby Ellsbury,NYY,OF,"$21,857,142.00",7 (2014-20),"$153,000,000.00","$21,857,143.00"
Eric Hosmer,SD,1B,"$21,625,000.00",8 (2018-25),"$144,000,000.00","$18,000,000.00"
Charlie Blackmon,COL,CF,"$21,516,666.00",6 (2018-23),"$108,000,000.00","$18,000,000.00"
Matt Kemp,CIN,OF,"$21,500,000.00",8 (2012-19),"$160,000,000.00","$20,000,000.00"
Freddie Freeman,ATL,1B,"$21,359,375.00",8 (2014-21),"$135,000,000.00","$16,875,000.00"
Rick Porcello,BOS,SP,"$21,125,000.00",4 (2016-19),"$82,500,000.00","$20,625,000.00"
Chris Davis,BAL,1B,"$21,116,517.00",7 (2016-22),"$161,000,000.00","$23,000,000.00"
Alex Gordon,KC,LF,"$21,000,000.00",4 (2016-19),"$72,000,000.00","$18,000,000.00"
Shin-Soo Choo,TEX,DH,"$21,000,000.00",7 (2014-20),"$130,000,000.00","$18,571,429.00"
Carlos Santana,CLE,1B,"$20,500,000.00",3 (2018-20),"$60,000,000.00","$20,000,000.00"
Yu Darvish,CHC,SP,"$20,000,000.00",6 (2018-23),"$126,000,000.00","$21,000,000.00"
Cole Hamels,CHC,SP,"$20,000,000.00",1 (2019),"$20,000,000.00","$20,000,000.00"
Mookie Betts,BOS,RF,"$20,000,000.00",1 (2019),"$20,000,000.00","$20,000,000.00"
Russell Martin,LAD,C,"$20,000,000.00",1 (2019),"$20,000,000.00","$20,000,000.00"
Yadier Molina,STL,C,"$20,000,000.00",3 (2018-20),"$60,000,000.00","$20,000,000.00"
Jason Heyward,CHC,RF,"$20,000,000.00",8 (2016-23),"$184,000,000.00","$23,000,000.00"
Jeff Samardzija,SF,SP,"$19,800,000.00",5 (2016-20),"$90,000,000.00","$18,000,000.00"
Wei-Yin Chen,MIA,RP,"$19,773,520.00",5 (2016-20),"$80,000,000.00","$16,000,000.00"
Justin Upton,LAA,LF,"$19,700,000.00",5 (2018-22),"$106,000,000.00","$21,200,000.00"
Kyle Seager,SEA,3B,"$19,500,000.00",7 (2015-21),"$100,000,000.00","$14,285,714.00"
Justin Turner,LAD,3B,"$19,000,000.00",4 (2017-20),"$64,000,000.00","$16,000,000.00"
Mark Melancon,SF,RP,"$19,000,000.00",4 (2017-20),"$62,000,000.00","$15,500,000.00"
Kenley Jansen,LAD,RP,"$18,800,000.00",5 (2017-21),"$80,000,000.00","$16,000,000.00"
Anthony Rendon,WSH,3B,"$18,800,000.00",1 (2019),"$18,800,000.00","$18,800,000.00"
Rich Hill,LAD,SP,"$18,666,667.00",3 (2017-19),"$48,000,000.00","$16,000,000.00"
Pablo Sandoval,SF,3B,"$18,600,000.00",5 (2015-19),"$95,000,000.00","$19,000,000.00"
Ryan Zimmerman,WSH,1B,"$18,333,333.00",6 (2014-19),"$100,000,000.00","$16,666,667.00"
Wade Davis,COL,RP,"$18,333,333.00",3 (2018-20),"$52,000,000.00","$17,333,333.00"
Yasmani Grandal,MIL,C,"$18,250,000.00",1 (2019),"$18,250,000.00","$18,250,000.00"
Ryan Braun,MIL,LF,"$18,158,038.00",13 (2008-20),"$150,000,000.00","$11,538,462.00"
Hyun-Jin Ryu,LAD,SP,"$17,900,000.00",1 (2019),"$17,900,000.00","$17,900,000.00"
Brandon Belt,SF,1B,"$17,200,000.00",5 (2017-21),"$72,800,000.00","$14,560,000.00"
Aroldis Chapman,NYY,RP,"$17,200,000.00",5 (2017-21),"$86,000,000.00","$17,200,000.00"
Corey Kluber,CLE,SP,"$17,200,000.00",5 (2015-19),"$38,500,000.00","$7,700,000.00"
Mike Leake,SEA,SP,"$17,000,000.00",5 (2016-20),"$80,000,000.00","$16,000,000.00"
Nathan Eovaldi,BOS,SP,"$17,000,000.00",4 (2019-22),"$68,000,000.00","$17,000,000.00"
J.A. Happ,NYY,SP,"$17,000,000.00",2 (2019-20),"$34,000,000.00","$17,000,000.00"
Ian Kennedy,KC,SP,"$16,500,000.00",5 (2016-20),"$70,000,000.00","$14,000,000.00"
Khris Davis,OAK,DH,"$16,500,000.00",1 (2019),"$16,500,000.00","$16,500,000.00"
Dexter Fowler,STL,RF,"$16,500,000.00",5 (2017-21),"$82,500,000.00","$16,500,000.00"
Michael Brantley,HOU,LF,"$16,000,000.00",2 (2019-20),"$32,000,000.00","$16,000,000.00"
Jose Abreu,CWS,1B,"$16,000,000.00",1 (2019),"$16,000,000.00","$16,000,000.00"
Evan Longoria,SF,3B,"$15,500,000.00",6 (2017-22),"$100,000,000.00","$16,666,667.00"
Ian Desmond,COL,CF,"$15,400,000.00",5 (2017-21),"$70,000,000.00","$14,000,000.00"
Matt Carpenter,STL,3B,"$15,333,333.00",6 (2014-19),"$52,000,000.00","$8,666,667.00"
Elvis Andrus,TEX,SS,"$15,250,000.00",8 (2015-22),"$120,000,000.00","$15,000,000.00"
Danny Duffy,KC,SP,"$15,250,000.00",5 (2017-21),"$65,000,000.00","$13,000,000.00"
Brandon Crawford,SF,SS,"$15,200,000.00",6 (2016-21),"$75,000,000.00","$12,500,000.00"
Jean Segura,PHI,SS,"$15,050,000.00",5 (2018-22),"$70,000,000.00","$14,000,000.00"
Martin Prado,MIA,3B,"$15,000,000.00",3 (2017-19),"$40,000,000.00","$13,333,333.00"
Paul Goldschmidt,STL,1B,"$15,000,000.00",1 (2019),"$15,000,000.00","$15,000,000.00"
Charlie Morton,TB,SP,"$15,000,000.00",2 (2019-20),"$30,000,000.00","$15,000,000.00"
